Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
OCC[NH+](CCO)CCO,[I-],OCC[NH+](CCO)CCO.[I-],2.6,398.15,277.102
Cn1cc[nH+]c1,[Cl-],Cn1cc[nH+]c1.[Cl-],2.538,345.15,118.567
Cn1cc[nH+]c1,[Br-],Cn1cc[nH+]c1.[Br-],2.497,314.15,163.018
Cn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-],Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],2.634,430.15,182.563
Cn1cc[nH+]c1,F[B-](F)(F)F,Cn1cc[nH+]c1.F[B-](F)(F)F,2.492,310.15,169.918
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.45,282.15,363.261
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.454,284.15,463.275
Cn1cc[nH+]c1,O=[N+]([O-])[O-],Cn1cc[nH+]c1.O=[N+]([O-])[O-],2.535,343.15,145.118
Cn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,2.553,357.15,232.183
Cn1cc[nH+]c1,F[P-](F)(F)(F)(F)F,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,2.59,389.15,228.076
Cn1cc[nH+]c1,O=C([O-])C(F)(F)F,Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,2.511,324.15,196.128
Cn1cc[nH+]c1,CC(=O)[O-],Cn1cc[nH+]c1.CC(=O)[O-],2.398,250.15,142.158
CCn1cc[nH+]c1,[Cl-],CCn1cc[nH+]c1.[Cl-],2.52,331.15,132.594
CCn1cc[nH+]c1,[Br-],CCn1cc[nH+]c1.[Br-],2.523,333.15,177.045
CCn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-],CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],2.469,294.15,196.59
CCn1cc[nH+]c1,O=[N+]([O-])[O-],CCn1cc[nH+]c1.O=[N+]([O-])[O-],2.483,304.15,159.145
CCn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F,CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,2.449,281.15,246.21
Cn1cc[n+](C)c1,[Cl-],Cn1cc[n+](C)c1.[Cl-],2.6,398.15,132.594
Cn1cc[n+](C)c1,F[B-](F)(F)F,Cn1cc[n+](C)c1.F[B-](F)(F)F,2.575,376.15,183.945
Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.47,295.15,377.288
