Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
OCC[NH+](CCO)CCO,[Br-],OCC[NH+](CCO)CCO.[Br-],453.15,2.656,230.102
OCC[NH+](CCO)CCO,[I-],OCC[NH+](CCO)CCO.[I-],398.15,2.6,277.102
Cn1cc[nH+]c1,[Cl-],Cn1cc[nH+]c1.[Cl-],345.15,2.538,118.567
Cn1cc[nH+]c1,[Br-],Cn1cc[nH+]c1.[Br-],314.15,2.497,163.018
Cn1cc[nH+]c1,[O-][Cl+3]([O-])([O-])[O-],Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],430.15,2.634,182.563
Cn1cc[nH+]c1,F[B-](F)(F)F,Cn1cc[nH+]c1.F[B-](F)(F)F,310.15,2.492,169.918
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,282.15,2.45,363.261
Cn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,284.15,2.454,463.275
Cn1cc[nH+]c1,O=[N+]([O-])[O-],Cn1cc[nH+]c1.O=[N+]([O-])[O-],343.15,2.535,145.118
Cn1cc[nH+]c1,O=S(=O)([O-])C(F)(F)F,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,357.15,2.553,232.183
Cn1cc[nH+]c1,F[P-](F)(F)(F)(F)F,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,389.15,2.59,228.076
